date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
00:27:17	4769/4769	---M-Z	200	added ('OK')	text/html	date:Thu,%2017%20Dec%202020%2018:57:18%20GMT	http://www.qub.ac.uk/cite2write/oscola2e.html	F:/My%20Web%20Sites/Reference/www.qub.ac.uk/cite2write/oscola2e.html	(from http://www.qub.ac.uk/cite2write/sitemap.html)
00:27:18	4971/4971	---M-Z	200	added ('OK')	text/html	date:Thu,%2017%20Dec%202020%2018:57:19%20GMT	http://www.qub.ac.uk/cite2write/oscola2f.html	F:/My%20Web%20Sites/Reference/www.qub.ac.uk/cite2write/oscola2f.html	(from http://www.qub.ac.uk/cite2write/sitemap.html)
00:27:18	4795/4795	---M-Z	200	added ('OK')	text/html	date:Thu,%2017%20Dec%202020%2018:57:19%20GMT	http://www.qub.ac.uk/cite2write/oscola2g.html	F:/My%20Web%20Sites/Reference/www.qub.ac.uk/cite2write/oscola2g.html	(from http://www.qub.ac.uk/cite2write/sitemap.html)
00:27:19	4766/4766	---M-Z	200	added ('OK')	text/html	date:Thu,%2017%20Dec%202020%2018:57:20%20GMT	http://www.qub.ac.uk/cite2write/oscola2h.html	F:/My%20Web%20Sites/Reference/www.qub.ac.uk/cite2write/oscola2h.html	(from http://www.qub.ac.uk/cite2write/sitemap.html)
00:27:19	4769/4769	---M-Z	200	added ('OK')	text/html	date:Thu,%2017%20Dec%202020%2018:57:20%20GMT	http://www.qub.ac.uk/cite2write/oscola2i.html	F:/My%20Web%20Sites/Reference/www.qub.ac.uk/cite2write/oscola2i.html	(from http://www.qub.ac.uk/cite2write/sitemap.html)
00:27:20	4727/4727	---M-Z	200	added ('OK')	text/html	date:Thu,%2017%20Dec%202020%2018:57:21%20GMT	http://www.qub.ac.uk/cite2write/oscola2j.html	F:/My%20Web%20Sites/Reference/www.qub.ac.uk/cite2write/oscola2j.html	(from http://www.qub.ac.uk/cite2write/sitemap.html)
00:27:21	4058/4058	---M-Z	200	added ('OK')	text/html	date:Thu,%2017%20Dec%202020%2018:57:22%20GMT	http://www.qub.ac.uk/cite2write/oscola3a.html	F:/My%20Web%20Sites/Reference/www.qub.ac.uk/cite2write/oscola3a.html	(from http://www.qub.ac.uk/cite2write/sitemap.html)
00:27:22	24761/24761	---M-Z	200	added ('OK')	text/html	date:Thu,%2017%20Dec%202020%2018:57:23%20GMT	http://www.qub.ac.uk/cite2write/oscola3b.html	F:/My%20Web%20Sites/Reference/www.qub.ac.uk/cite2write/oscola3b.html	(from http://www.qub.ac.uk/cite2write/sitemap.html)
00:27:23	3889/3889	---M-Z	200	added ('OK')	text/html	date:Thu,%2017%20Dec%202020%2018:57:24%20GMT	http://www.qub.ac.uk/cite2write/oscola4a.html	F:/My%20Web%20Sites/Reference/www.qub.ac.uk/cite2write/oscola4a.html	(from http://www.qub.ac.uk/cite2write/sitemap.html)
00:27:23	4020/4020	---M-Z	200	added ('OK')	text/html	date:Thu,%2017%20Dec%202020%2018:57:24%20GMT	http://www.qub.ac.uk/cite2write/other2.html	F:/My%20Web%20Sites/Reference/www.qub.ac.uk/cite2write/other2.html	(from http://www.qub.ac.uk/cite2write/sitemap.html)
00:27:24	4032/4032	---M-Z	200	added ('OK')	text/html	date:Thu,%2017%20Dec%202020%2018:57:25%20GMT	http://www.qub.ac.uk/cite2write/other2a.html	F:/My%20Web%20Sites/Reference/www.qub.ac.uk/cite2write/other2a.html	(from http://www.qub.ac.uk/cite2write/sitemap.html)
00:27:24	4106/4106	---M-Z	200	added ('OK')	text/html	date:Thu,%2017%20Dec%202020%2018:57:25%20GMT	http://www.qub.ac.uk/cite2write/other2b.html	F:/My%20Web%20Sites/Reference/www.qub.ac.uk/cite2write/other2b.html	(from http://www.qub.ac.uk/cite2write/sitemap.html)
00:27:25	3850/3850	---M-Z	200	added ('OK')	text/html	date:Thu,%2017%20Dec%202020%2018:57:26%20GMT	http://www.qub.ac.uk/cite2write/other2c.html	F:/My%20Web%20Sites/Reference/www.qub.ac.uk/cite2write/other2c.html	(from http://www.qub.ac.uk/cite2write/sitemap.html)
00:27:26	929/929	---M--	503	error ('Service%20Unavailable')	text/html		http://www.qub.ac.uk/cite2write/audio/help.mp3	F:/My%20Web%20Sites/Reference/www.qub.ac.uk/cite2write/audio/help.93.delayed	(from http://www.qub.ac.uk/cite2write/help.html)
00:27:27	354284/354284	---M-Z	404	error ('Not%20Found')	text/html	date:Thu,%2017%20Dec%202020%2018:57:27%20GMT	http://www.qub.ac.uk/cite2write/redir.aspx?C=59e8af7825564e849f1f0f02e6a1de5b&URL=http%3a%2f%2fget.adobe.com%2fflashplayer%2f%3fpromoid%3dDXLUJ	F:/My%20Web%20Sites/Reference/www.qub.ac.uk/cite2write/redir.941d24.delayed	(from http://www.qub.ac.uk/cite2write/help.html)
00:27:28	782/782	---M--	200	added ('OK')	image/png	etag:%2230e-5a9c5b3380e00%22	http://www.qub.ac.uk/cite2write/images/soundControls.png	F:/My%20Web%20Sites/Reference/www.qub.ac.uk/cite2write/images/soundControls.png	(from http://www.qub.ac.uk/cite2write/help.html)
00:27:29	51065/51065	---M--	200	added ('OK')	image/png	etag:%22c779-5a9c5b3380e00%22	http://www.qub.ac.uk/cite2write/images/newbuttonv2.fw.png	F:/My%20Web%20Sites/Reference/www.qub.ac.uk/cite2write/images/newbuttonv2.fw.png	(from http://www.qub.ac.uk/cite2write/help.html)
00:27:29	6567/6567	---M--	200	added ('OK')	image/png	etag:%2219a7-5a9c5b3380e00%22	http://www.qub.ac.uk/cite2write/images/help1.png	F:/My%20Web%20Sites/Reference/www.qub.ac.uk/cite2write/images/help1.png	(from http://www.qub.ac.uk/cite2write/help.html)
